ensembl_gene_id	gene_id	symbol	type
NA	171844	W03D8.2	protein-coding
NA	171846	itx-1	protein-coding
NA	171847	W03D8.5	protein-coding
NA	171848	W03D8.3	protein-coding
NA	171849	pop-1	protein-coding
NA	171850	W10C8.5	protein-coding
NA	171852	Y71F9AL.10	protein-coding
NA	171853	rpl-1	protein-coding
NA	171854	Y71F9AL.9	protein-coding
NA	171855	Y71F9AL.8	protein-coding
NA	171856	dnc-5	protein-coding
NA	171857	arx-1	protein-coding
NA	171858	Y71F9AL.7	protein-coding
NA	171859	Y71F9AL.6	protein-coding
NA	171860	copa-1	protein-coding
NA	171861	Y71F9AL.4	protein-coding
NA	171863	Y71F9AL.2	protein-coding
NA	171864	Y71F9AL.1	protein-coding
NA	171865	trap-1	protein-coding
NA	171866	nxt-1	protein-coding
NA	171867	cogc-3	protein-coding
NA	171868	bam-2	protein-coding
NA	171869	supr-1	protein-coding
NA	171870	dnj-28	protein-coding
NA	171872	mek-2	protein-coding
NA	171873	col-48	protein-coding
NA	171874	Y54E10BR.4	protein-coding
NA	171875	Y54E10BR.3	protein-coding
NA	171876	Y54E10BR.5	protein-coding
NA	171877	rpb-7	protein-coding
NA	171878	Y54E10BR.2	protein-coding
NA	171879	mod-5	protein-coding
NA	171880	ztf-23	protein-coding
NA	171881	pign-1	protein-coding
NA	171882	arx-7	protein-coding
NA	171883	riok-1	protein-coding
NA	171884	nhr-64	protein-coding
NA	171885	C45E1.4	protein-coding
NA	171886	lpd-6	protein-coding
NA	171887	dscc-1	protein-coding
NA	171888	vbh-1	protein-coding
NA	171889	mrpl-17	protein-coding
NA	171890	Y54E10A.6	protein-coding
NA	171891	dnc-6	protein-coding
NA	171892	Y54E10A.10	protein-coding
NA	171893	Y54E10A.11	protein-coding
NA	171894	Y54E10A.12	protein-coding
NA	171895	fog-1	protein-coding
NA	171896	cdt-1	protein-coding
NA	171897	txl-1	protein-coding
NA	171898	mab-31	protein-coding
NA	171900	zip-4	protein-coding
NA	171901	nol-58	protein-coding
NA	171903	W01B11.6	protein-coding
NA	171904	W01B11.1	protein-coding
NA	171905	ace-2	protein-coding
NA	171906	cdap-2	protein-coding
NA	171907	Y44E3A.6	protein-coding
NA	171908	W05F2.3	protein-coding
NA	171909	W05F2.6	protein-coding
NA	171911	cdk-2	protein-coding
NA	171912	sep-1	protein-coding
NA	171913	tag-63	protein-coding
NA	171914	msh-6	protein-coding
NA	171915	spg-7	protein-coding
NA	171916	Y47G6A.9	protein-coding
NA	171917	crn-1	protein-coding
NA	171918	Y47G6A.7	protein-coding
NA	171919	Y47G6A.18	protein-coding
NA	171920	pcaf-1	protein-coding
NA	171921	Y47G6A.19	protein-coding
NA	171922	rnp-6	protein-coding
NA	171923	rde-10	protein-coding
NA	171924	Y47G6A.21	protein-coding
NA	171925	Y47G6A.22	protein-coding
NA	171926	lpd-3	protein-coding
NA	171927	mis-12	protein-coding
NA	171928	Y47G6A.25	protein-coding
NA	171929	inx-22	protein-coding
NA	171930	inx-21	protein-coding
NA	171931	Y47G6A.26	protein-coding
NA	171932	jmjc-1	protein-coding
NA	171933	ccb-1	protein-coding
NA	171934	ftn-2	protein-coding
NA	171935	rab-8	protein-coding
NA	171936	D1037.1	protein-coding
NA	171937	ipla-4	protein-coding
NA	171938	msh-2	protein-coding
NA	171939	hus-1	protein-coding
NA	171941	glh-4	protein-coding
NA	171942	larp-5	protein-coding
NA	171943	inx-13	protein-coding
NA	171944	inx-12	protein-coding
NA	171945	C32E8.6	protein-coding
NA	171946	C32E8.5	protein-coding
NA	171947	C32E8.4	protein-coding
NA	171948	tppp-1	protein-coding
NA	171949	rpl-13	protein-coding
NA	171950	ptr-2	protein-coding
NA	171951	C32E8.9	protein-coding
NA	171952	unc-11	protein-coding
NA	171953	ubr-1	protein-coding
NA	171954	npp-11	protein-coding
NA	171955	F53F10.7	ncRNA
NA	171956	unc-108	protein-coding
NA	171957	mpc-2	protein-coding
NA	171958	F53F10.2	protein-coding
NA	171959	F53F10.1	protein-coding
NA	171960	gsp-4	protein-coding
NA	171961	T03F1.6	protein-coding
NA	171962	T03F1.11	protein-coding
NA	171963	guk-1	protein-coding
NA	171964	hcp-4	protein-coding
NA	171965	pgk-1	protein-coding
NA	171966	coq-4	protein-coding
NA	171967	clec-53	protein-coding
NA	171968	uba-5	protein-coding
NA	171969	T03F1.12	protein-coding
NA	171970	syf-1	protein-coding
NA	171972	C50F2.2	protein-coding
NA	171973	C50F2.5	protein-coding
NA	171974	fkb-5	protein-coding
NA	171975	pbs-4	protein-coding
NA	171976	mrrf-1	protein-coding
NA	171977	T20F5.4	protein-coding
NA	171978	T20F5.6	protein-coding
NA	171979	T20F5.7	protein-coding
NA	171980	egg-4	protein-coding
NA	171981	lrp-2	protein-coding
NA	171982	F47B3.6	protein-coding
NA	171983	F47B3.7	protein-coding
NA	171984	F47B3.1	protein-coding
NA	171985	aars-2	protein-coding
NA	171986	cpn-3	protein-coding
NA	171987	F28H1.1	protein-coding
NA	171988	unc-73	protein-coding
NA	171990	unc-89	protein-coding
NA	171992	acd-2	protein-coding
NA	171993	cyb-2.2	protein-coding
NA	171994	lin-44	protein-coding
NA	171995	let-504	protein-coding
NA	171996	E01A2.2	protein-coding
NA	171997	akir-1	protein-coding
NA	171998	E01A2.1	protein-coding
NA	171999	poml-2	protein-coding
NA	172000	R12E2.15	protein-coding
NA	172001	R12E2.14	protein-coding
NA	172002	R12E2.7	protein-coding
NA	172003	R12E2.8	protein-coding
NA	172004	inx-15	protein-coding
NA	172005	inx-16	protein-coding
NA	172006	inx-17	protein-coding
NA	172007	egg-5	protein-coding
NA	172008	R12E2.11	protein-coding
NA	172009	rpn-8	protein-coding
NA	172010	R12E2.13	protein-coding
NA	172011	suco-1	protein-coding
NA	172012	R12E2.1	protein-coding
NA	172013	ppw-1	protein-coding
NA	172015	snrp-40.2	protein-coding
NA	172016	C18E3.3	protein-coding
NA	172017	hop-1	protein-coding
NA	172018	swsn-2.2	protein-coding
NA	172019	C18E3.1	protein-coding
NA	172020	C18E3.9	protein-coding
NA	172021	nab-1	protein-coding
NA	172022	C43E11.5	protein-coding
NA	172023	exoc-7	protein-coding
NA	172024	tufm-2	protein-coding
NA	172025	cogc-5	protein-coding
NA	172026	met-1	protein-coding
NA	172027	mus-81	protein-coding
NA	172028	C43E11.9	protein-coding
NA	172029	cdc-6	protein-coding
NA	172030	acin-1	protein-coding
NA	172031	Y47D9A.5	protein-coding
NA	172032	scpl-3	protein-coding
NA	172033	Y47D9A.1	protein-coding
NA	172034	anc-1	protein-coding
NA	172035	pdp-1	protein-coding
NA	172036	ZK973.9	protein-coding
NA	172037	lpd-5	protein-coding
NA	172038	cec-10	protein-coding
NA	172039	ZK973.11	protein-coding
NA	172040	ZK973.1	protein-coding
NA	172041	dhc-1	protein-coding
NA	172044	eif-3.H	protein-coding
NA	172045	cps-6	protein-coding
NA	172046	cmt-1	protein-coding
NA	172047	eri-7	protein-coding
NA	172050	eri-6	protein-coding
NA	172051	gcy-28	protein-coding
NA	172052	mrpl-19	protein-coding
NA	172053	Y119C1B.5	protein-coding
NA	172054	bet-1	protein-coding
NA	172056	Y119C1B.1	protein-coding
NA	172058	D1007.15	protein-coding
NA	172059	ceh-17	protein-coding
NA	172060	D1007.5	protein-coding
NA	172061	rps-10	protein-coding
NA	172062	rpl-24.1	protein-coding
NA	172064	nrd-1	protein-coding
NA	172065	eaf-1	protein-coding
NA	172066	D1007.8	protein-coding
NA	172067	C44E4.5	protein-coding
NA	172068	ubr-4	protein-coding
NA	172070	ssb-1	protein-coding
NA	172071	acbp-1	protein-coding
NA	172072	got-2.1	protein-coding
NA	172073	lmd-2	protein-coding
NA	172074	rpl-4	protein-coding
NA	172075	B0041.5	protein-coding
NA	172076	ain-2	protein-coding
NA	172077	xnp-1	protein-coding
NA	172078	unc-57	protein-coding
NA	172079	chd-7	protein-coding
NA	172081	W09C3.4	protein-coding
NA	172082	gsp-3	protein-coding
NA	172083	W09C3.7	protein-coding
NA	172085	ugt-26	protein-coding
NA	172086	ugt-28	protein-coding
NA	172087	ugt-25	protein-coding
NA	172088	let-502	protein-coding
NA	172089	viln-1	protein-coding
NA	172090	kca-1	protein-coding
NA	172091	M04F3.3	protein-coding
NA	172092	rpa-2	protein-coding
NA	172093	M04F3.5	protein-coding
NA	172094	rpl-41.1	protein-coding
NA	172095	rpl-41.2	protein-coding
NA	172096	zig-7	protein-coding
NA	172097	F54D7.2	protein-coding
NA	172098	tofu-4	protein-coding
NA	172099	htp-3	protein-coding
NA	172100	F57C9.4	protein-coding
NA	172101	pdxk-1	protein-coding
NA	172102	rga-6	protein-coding
NA	172103	glc-2	protein-coding
NA	172104	F25F8.1	protein-coding
NA	172105	unc-38	protein-coding
NA	172106	icmt-1	protein-coding
NA	172107	F21F3.2	protein-coding
NA	172108	pgal-1	protein-coding
NA	172109	F21F3.6	protein-coding
NA	172110	imb-1	protein-coding
NA	172111	F28B3.5	protein-coding
NA	172114	F28B3.10	protein-coding
NA	172115	F28B3.6	protein-coding
NA	172116	him-1	protein-coding
NA	172117	enu-3.3	protein-coding
NA	172118	app-1	protein-coding
NA	172119	snf-1	protein-coding
NA	172120	paf-1	protein-coding
NA	172121	cil-7	protein-coding
NA	172122	dyf-1	protein-coding
NA	172123	mes-3	protein-coding
NA	172124	dom-3	protein-coding
NA	172125	sst-20	protein-coding
NA	172126	F54C1.1	protein-coding
NA	172127	pat-10	protein-coding
NA	172128	lfe-2	protein-coding
NA	172129	phat-1	protein-coding
NA	172130	phat-2	protein-coding
NA	172131	C46H11.2	protein-coding
NA	172132	C46H11.10	protein-coding
NA	172133	fhod-1	protein-coding
NA	172134	vha-16	protein-coding
NA	172135	kin-32	protein-coding
NA	172136	C30F8.3	protein-coding
NA	172137	spe-5	protein-coding
NA	172138	chp-1	protein-coding
NA	172139	pas-3	protein-coding
NA	172140	use-1	protein-coding
NA	172141	aap-1	protein-coding
NA	172142	Y110A7A.15	protein-coding
NA	172143	elpc-1	protein-coding
NA	172144	Y110A7A.9	protein-coding
NA	172145	mat-1	protein-coding
NA	172146	prp-31	protein-coding
NA	172147	pfkb-1.1	protein-coding
NA	172148	mtm-1	protein-coding
NA	172149	tyms-1	protein-coding
NA	172150	unc-63	protein-coding
NA	172151	Y110A7A.2	protein-coding
NA	172152	ppw-2	protein-coding
NA	172153	let-630	protein-coding
NA	172155	spd-5	protein-coding
NA	172156	npp-6	protein-coding
NA	172157	slx-1	protein-coding
NA	172158	bro-1	protein-coding
NA	172159	fncm-1	protein-coding
NA	172161	osr-1	protein-coding
NA	172162	sem-2	protein-coding
NA	172163	C32E12.4	protein-coding
NA	172164	mrpl-47	protein-coding
NA	172166	B0261.6	protein-coding
NA	172167	let-363	protein-coding
NA	172168	B0261.1	protein-coding
NA	172169	B0261.7	protein-coding
NA	172170	C01G8.1	protein-coding
NA	172171	cln-3.2	protein-coding
NA	172172	dhs-1	protein-coding
NA	172173	dnj-4	protein-coding
NA	172174	erm-1	protein-coding
NA	172175	hpo-32	protein-coding
NA	172177	F48C1.6	protein-coding
NA	172178	aman-3	protein-coding
NA	172179	spe-11	protein-coding
NA	172180	apm-1	protein-coding
NA	172181	F55A12.5	protein-coding
NA	172182	nath-10	protein-coding
NA	172183	dhs-2	protein-coding
NA	172184	ppk-1	protein-coding
NA	172185	F55A12.2	protein-coding
NA	172186	F55A12.10	protein-coding
NA	172187	pqn-44	protein-coding
NA	172188	C24A11.1	protein-coding
NA	172189	frm-4	protein-coding
NA	172190	coq-1	protein-coding
NA	172191	erp-44.1	protein-coding
NA	172192	F27C1.6	protein-coding
NA	172193	F27C1.4	protein-coding
NA	172194	F27C1.3	protein-coding
NA	172195	atp-3	protein-coding
NA	172196	F27C1.2	protein-coding
NA	172197	dpy-5	protein-coding
NA	172198	F27C1.1	protein-coding
NA	172199	let-355	protein-coding
NA	172200	C09D4.4	protein-coding
NA	172201	rpl-19	protein-coding
NA	172202	C09D4.3	protein-coding
NA	172203	C09D4.1	protein-coding
NA	172204	mrpl-24	protein-coding
NA	172205	zipt-11	protein-coding
NA	172206	cpd-1	protein-coding
NA	172207	pup-3	protein-coding
NA	172208	ostd-1	protein-coding
NA	172209	tom-1	protein-coding
