ensembl_gene_id	gene_id	symbol	type
NA	850716	RPL15A	protein-coding
NA	850717	YLR030W	protein-coding
NA	850718	YLR031W	protein-coding
NA	850719	RAD5	protein-coding
NA	850720	RSC58	protein-coding
NA	850721	SMF3	protein-coding
NA	850722	MLH2	protein-coding
NA	850723	tA(UGC)L	tRNA
NA	850724	YLR035C-A	protein-coding
NA	850725	YLR036C	protein-coding
NA	850726	PAU23	protein-coding
NA	850727	COX12	protein-coding
NA	850728	RIC1	protein-coding
NA	850730	AFB1	protein-coding
NA	850731	YLR042C	protein-coding
NA	850732	TRX1	protein-coding
NA	850733	PDC1	protein-coding
NA	850734	STU2	protein-coding
NA	850735	YLR046C	protein-coding
NA	850736	FRE8	protein-coding
NA	850737	RPS0B	protein-coding
NA	850738	YLR049C	protein-coding
NA	850739	YLR050C	protein-coding
NA	850740	FCF2	protein-coding
NA	850741	IES3	protein-coding
NA	850742	YLR053C	protein-coding
NA	850743	OSW2	protein-coding
NA	850744	SPT8	protein-coding
NA	850745	ERG3	protein-coding
NA	850746	MNL2	protein-coding
NA	850747	SHM2	protein-coding
NA	850748	REX2	protein-coding
NA	850749	FRS1	protein-coding
NA	850750	RPL22A	protein-coding
NA	850752	BMT6	protein-coding
NA	850753	PER33	protein-coding
NA	850754	ENV10	protein-coding
NA	850755	SPC3	protein-coding
NA	850756	PET309	protein-coding
NA	850757	FYV7	protein-coding
NA	850758	MEF1	protein-coding
NA	850759	XYL2	protein-coding
NA	850760	RGR1	protein-coding
NA	850761	LAM6	protein-coding
NA	850762	RFU1	protein-coding
NA	850763	BUD20	protein-coding
NA	850764	RPL10	protein-coding
NA	850766	FMP25	protein-coding
NA	850767	BOS1	protein-coding
NA	850768	SIC1	protein-coding
NA	850769	EMP46	protein-coding
NA	850770	GAL2	protein-coding
NA	850771	SRL2	protein-coding
NA	850772	EMP70	protein-coding
NA	850773	RAX2	protein-coding
NA	850774	ARP6	protein-coding
NA	850775	SMC4	protein-coding
NA	850776	CSF1	protein-coding
NA	850777	GAA1	protein-coding
NA	850778	ALT1	protein-coding
NA	850779	XDJ1	protein-coding
NA	850780	GEP5	protein-coding
NA	850781	SUL2	protein-coding
NA	850782	NYV1	protein-coding
NA	850783	GIS3	protein-coding
NA	850784	IOC2	protein-coding
NA	850785	KIN2	protein-coding
NA	850786	HRT3	protein-coding
NA	850787	CHA4	protein-coding
NA	850788	ICT1	protein-coding
NA	850789	MIM2	protein-coding
NA	850790	ERG27	protein-coding
NA	850792	APC9	protein-coding
NA	850793	CDC45	protein-coding
NA	850794	LCL2	protein-coding
NA	850795	SEN2	protein-coding
NA	850796	MDN1	protein-coding
NA	850797	REX3	protein-coding
NA	850798	YLR108C	protein-coding
NA	850799	AHP1	protein-coding
NA	850800	CCW12	protein-coding
NA	850801	YLR111W	protein-coding
NA	850802	YLR112W	protein-coding
