geo_accession	age	batch_cov1	batch_cov2	batch_cov3	batch_cov4	batch_cov5	batch_cov6	batch_cov7	batch_cov8	batch_cov9	batch_cov10	batch_cov11	batch_cov12	batch_cov13	batch_cov14	batch_cov15	batch_cov16	site_cov1
GSM2457491	58	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GSM2457492	58	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GSM2457493	62	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GSM2457494	62	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
GSM2457495	61	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457496	61	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457497	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457498	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457499	60	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457500	60	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457501	67	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GSM2457502	70	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457503	56	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
GSM2457504	81	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GSM2457505	81	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
GSM2457506	61	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457507	66.08333333	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457508	65	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457509	65	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457510	72	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457511	72	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457512	65	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GSM2457513	65	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
GSM2457514	73	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457515	73	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457516	68	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457517	68	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457518	66	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457519	66	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457520	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457521	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457522	80	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457523	80	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457524	58	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457525	52	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GSM2457526	52	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
GSM2457527	67	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457528	71	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GSM2457529	71	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GSM2457530	65.25	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
